Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
78:28:CA:C3:F7:17, 2020-12-20 13:10:50, 2020-12-20 13:10:50, -49,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
00:0E:58:12:1C:5B, 2020-12-20 13:10:46, 2020-12-20 13:10:50, -66,       95, 78:28:CA:C3:F7:17,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F6:E7, 2020-12-20 13:10:50, 2020-12-20 13:10:50, -44,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F7:17, 2020-12-20 13:10:50, 2020-12-20 13:10:50, -49,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
00:0E:58:12:1C:5B, 2020-12-20 16:47:19, 2020-12-20 16:47:20, -71,       90, 78:28:CA:C3:F7:17,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F6:E7, 2020-12-20 16:47:20, 2020-12-20 16:47:20, -45,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F7:17, 2020-12-20 16:47:20, 2020-12-20 16:47:20, -46,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
00:0E:58:12:1C:5B, 2020-12-20 16:47:19, 2020-12-20 16:47:20, -71,       90, 78:28:CA:C3:F7:17,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F6:E7, 2020-12-20 16:47:20, 2020-12-20 16:47:20, -45,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F7:17, 2020-12-20 16:47:20, 2020-12-20 16:47:20, -46,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
00:0E:58:12:1C:5B, 2020-12-20 16:47:19, 2020-12-20 16:47:20, -71,       90, 78:28:CA:C3:F7:17,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F6:E7, 2020-12-20 16:47:20, 2020-12-20 16:47:20, -45,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
78:28:CA:C3:F7:17, 2020-12-20 16:47:20, 2020-12-20 16:47:20, -46,        2, (not associated) ,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
C8:69:CD:19:75:2A, 2020-12-20 16:57:26, 2020-12-20 16:57:26, -88,        4, 00:A0:57:3B:59:0E,
00:0E:58:12:1C:5B, 2020-12-20 16:57:23, 2020-12-20 16:57:35, -67,      188, 78:28:CA:C3:F7:17,Sonos_Cr28BLh2UVPK2bdMZbhZfdUE90
